,scenario_name,scenario_variant,variable,use_technology_fuel,model,time_resolution,timestamp,value
3156,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 20:00,5.807303072502608e-07
3157,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 21:00,5.730820341369385e-07
3158,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 22:00,5.747411586994721e-07
3159,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 23:00,1.6264006051889269e-06
3160,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 00:00,0.0
3161,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 01:00,0.0
3162,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 02:00,0.0
3163,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 03:00,0.0
3164,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 04:00,0.0
3165,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 05:00,0.0
3166,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 06:00,0.0
3167,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 07:00,0.0
3168,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 08:00,0.0
3169,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 09:00,0.0
3170,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 10:00,0.0
3171,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 11:00,0.0
3172,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 12:00,0.0
3173,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 13:00,0.0
3174,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 14:00,0.0
3175,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 15:00,0.0
3176,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 16:00,0.0
3177,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 17:00,0.0
3178,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 18:00,0.0
3179,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 19:00,0.0
3180,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 20:00,0.0
3181,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 21:00,0.0
3182,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 22:00,0.0
3183,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.02.2050 23:00,0.0
3184,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 00:00,0.0
3185,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 01:00,0.0
3186,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 02:00,0.0
3187,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 03:00,0.0
3188,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 04:00,0.0
3189,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 05:00,0.0
3190,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 06:00,0.0
3191,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 07:00,0.0
3192,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 08:00,0.0
3193,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 09:00,0.0
3194,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 10:00,0.0
3195,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 11:00,0.0
3196,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 12:00,0.0
3197,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 13:00,0.0
3198,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 14:00,0.0
3199,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 15:00,0.0
3200,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 16:00,0.0
3201,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 17:00,0.0
3202,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 18:00,0.0
3203,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 19:00,0.0
3204,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 20:00,0.0
3205,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 21:00,0.0
3206,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 22:00,0.0
3207,abroad-nores-full,reference,electricity_consumption_typical_day,road_public,secmod,typical-day,01.07.2050 23:00,0.0
3208,abroad-nores-full,reference,electricity_consumption_typical_day,road_private,secmod,typical-day,01.02.2050 00:00,0.3711154747602982
3209,abroad-nores-full,reference,electricity_consumption_typical_day,road_private,secmod,typical-day,01.02.2050 01:00,0.2244727082240844
3210,abroad-nores-full,reference,electricity_consumption_typical_day,road_private,secmod,typical-day,01.02.2050 02:00,0.1588649987748482
3211,abroad-nores-full,reference,electricity_consumption_typical_day,road_private,secmod,typical-day,01.02.2050 03:00,0.1615262064928811
3212,abroad-nores-full,reference,electricity_consumption_typical_day,road_private,secmod,typical-day,01.02.2050 04:00,0.279956573000703
3213,abroad-nores-full,reference,electricity_consumption_typical_day,road_private,secmod,typical-day,01.02.2050 05:00,0.7699080603788933
3214,abroad-nores-full,reference,electricity_consumption_typical_day,road_private,secmod,typical-day,01.02.2050 06:00,1.8508559194710128
3215,abroad-nores-full,reference,electricity_consumption_typical_day,road_private,secmod,typical-day,01.02.2050 07:00,2.364623703
3216,abroad-nores-full,reference,electricity_consumption_typical_day,road_private,secmod,typical-day,01.02.2050 08:00,2.163293423200441
3217,abroad-nores-full,reference,electricity_consumption_typical_day,road_private,secmod,typical-day,01.02.2050 09:00,1.9663057716246763
3218,abroad-nores-full,reference,electricity_consumption_typical_day,road_private,secmod,typical-day,01.02.2050 10:00,2.063113161254761
3219,abroad-nores-full,reference,electricity_consumption_typical_day,road_private,secmod,typical-day,01.02.2050 11:00,2.1934724768938554
