scenario_name,model,variable,use_technology_fuel,time_resolution,timestamp,value
abroad-res-lim,zengarden,passenger_road_private_fec,oil,annual,2045,1.7764959654619822e-08
abroad-res-lim,zengarden,passenger_road_private_fec,oil,annual,2050,9.986623584912936
abroad-res-lim,zengarden,passenger_road_private_fec,oil,annual,2050,9.593659997921537e-08
domestic-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2025,0.6671017455541278
domestic-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2025,0.003674041673172
domestic-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2030,2.951155708229521
domestic-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2030,0.003674042992562
domestic-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2035,6.611320465536261
domestic-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2035,0.0029611740727125
domestic-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2040,7.702595158757754
domestic-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2040,1.1104732386716951
domestic-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2045,12.686687984949923
domestic-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2045,1.1108221196102226
domestic-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2050,15.267771650428536
domestic-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2050,1.1108220173456531
domestic-nores-full,zengarden,passenger_road_private_fec,oil,annual,2025,35.87773010896996
domestic-nores-full,zengarden,passenger_road_private_fec,oil,annual,2025,3.1500592650551145
domestic-nores-full,zengarden,passenger_road_private_fec,oil,annual,2030,27.82892328967479
domestic-nores-full,zengarden,passenger_road_private_fec,oil,annual,2030,3.1500579804730253
